Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
1981:Q4,44.17,50.06,78.45,99.56,125.58,46.54,84.06,48.27,51.68,30.30,28.67,71.04,110.20,140.76,37.10,39.36,53.37,37.34,68.66,58.30,106.21,89.52,64.45,71.81,244.46,105.55
1982:Q1,42.87,48.83,75.36,99.92,125.60,44.92,73.52,50.06,50.78,29.32,27.76,70.74,111.59,135.73,35.13,37.40,53.70,38.01,67.90,56.91,108.12,93.19,66.74,73.84,255.22,101.60
1982:Q2,42.92,47.65,71.79,98.29,125.20,43.89,63.60,50.80,50.03,29.82,27.35,70.65,113.09,135.73,34.05,37.30,53.40,40.54,66.13,57.60,106.60,92.84,66.14,73.69,257.05,101.11
1982:Q3,41.04,46.71,67.08,97.17,124.08,42.19,59.86,51.53,49.66,29.90,27.05,69.42,113.89,138.22,33.13,37.94,52.73,40.89,64.66,55.76,106.52,92.14,64.96,73.31,254.18,102.01
1982:Q4,39.96,45.75,61.58,96.96,123.00,42.75,52.25,53.24,49.51,29.87,26.88,67.46,114.78,143.02,32.40,36.10,52.27,41.24,62.79,57.70,104.51,90.33,64.35,72.43,251.20,103.91
1983:Q1,40.01,44.58,61.30,97.92,122.53,45.80,54.52,55.68,49.02,30.72,26.93,64.68,115.83,156.71,31.83,35.90,53.09,41.44,61.11,58.68,107.94,87.68,63.58,70.86,247.88,107.91
1983:Q2,40.68,43.72,61.33,98.36,121.76,50.38,51.02,56.96,48.13,31.19,26.85,63.38,116.60,162.24,31.41,37.56,52.93,41.79,59.68,58.74,111.61,85.15,65.71,69.66,242.55,108.98
1983:Q3,40.16,42.99,61.29,99.59,119.80,50.39,46.76,58.26,47.52,31.81,26.71,62.88,117.31,168.08,31.13,37.81,51.89,41.97,58.13,58.47,113.42,82.31,64.23,68.58,235.54,108.57
1983:Q4,40.44,42.41,60.42,100.27,118.54,51.23,43.11,59.40,47.20,31.84,26.54,61.52,117.76,169.40,30.95,35.86,51.29,42.14,57.20,58.57,116.58,78.46,64.35,67.16,229.37,106.83
1984:Q1,41.60,42.05,58.95,100.88,116.69,53.05,45.57,60.15,46.86,32.09,26.40,60.69,117.98,163.93,31.05,35.44,52.59,43.83,57.63,58.87,117.58,73.01,66.47,65.49,225.15,104.12
1984:Q2,42.26,41.62,59.96,101.44,115.10,52.83,46.25,60.55,46.42,32.32,26.19,60.24,118.69,163.85,30.97,35.78,54.81,43.75,57.43,58.92,113.81,70.21,70.29,64.53,218.62,101.70
1984:Q3,43.62,41.18,59.26,101.80,114.30,52.86,50.61,60.55,45.94,32.78,25.97,59.93,119.09,162.99,30.92,36.47,57.34,43.10,57.26,58.99,108.78,68.91,68.30,64.38,211.58,99.74
1984:Q4,42.70,40.79,57.33,102.06,112.96,54.92,49.86,60.16,45.65,33.07,25.76,59.25,119.45,161.49,30.93,35.39,60.14,42.34,56.71,59.24,102.75,68.94,68.02,65.07,204.93,98.67
1985:Q1,44.43,39.89,56.52,102.86,110.87,56.49,50.40,60.77,45.28,33.54,25.32,57.71,119.45,161.27,30.70,33.91,61.63,41.90,55.47,59.44,94.13,70.99,62.80,66.55,199.22,99.63
1985:Q2,43.72,40.01,57.22,103.08,110.06,58.16,49.67,60.84,44.99,33.96,25.13,56.77,119.82,159.83,30.98,35.45,61.54,42.26,55.52,59.67,88.82,71.67,67.38,67.62,192.30,98.91
1985:Q3,43.74,40.37,57.44,104.01,110.14,62.19,48.39,60.94,44.76,33.77,24.97,56.61,119.93,156.17,31.46,35.31,64.50,42.58,55.52,60.11,84.81,71.54,70.46,68.20,184.80,97.79
1985:Q4,44.10,40.79,58.36,104.69,109.80,64.02,51.63,61.75,45.02,34.67,24.83,56.29,120.23,153.89,32.15,35.18,68.91,42.56,55.93,60.50,81.51,70.50,69.40,68.56,177.98,96.17
1986:Q1,43.91,41.36,58.48,106.57,110.53,67.78,50.46,62.46,45.43,35.72,24.97,56.30,120.43,150.76,33.51,35.07,76.20,42.30,55.32,61.30,75.38,67.89,61.71,69.38,171.98,93.20
1986:Q2,44.84,41.84,60.45,107.19,111.74,67.32,40.86,61.84,45.66,36.71,24.82,56.54,121.34,149.07,34.38,36.38,78.21,41.82,55.10,62.47,71.62,67.59,60.56,69.46,165.72,91.73
1986:Q3,44.01,42.36,61.83,108.64,111.44,65.39,37.41,62.18,45.85,37.41,24.66,57.05,122.19,146.33,35.18,37.88,79.95,41.48,56.05,63.06,68.63,69.17,58.25,69.40,159.59,90.75
