Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
2004:Q3,100.11,91.47,95.29,100.02,99.09,87.85,91.89,90.99,89.69,96.75,91.47,95.17,103.83,100.71,95.53,98.50,93.73,90.03,93.36,93.85,83.91,104.20,101.82,91.32,95.90,101.33
2004:Q4,100.93,93.70,95.59,99.94,97.89,89.72,94.71,92.86,92.37,97.63,93.48,96.69,102.35,99.48,97.40,98.77,95.67,91.99,95.47,95.27,89.40,105.50,98.98,93.48,97.04,100.45
2005:Q1,100.18,96.37,97.38,99.82,100.66,92.79,96.93,96.66,95.43,98.56,95.92,98.57,101.37,98.63,98.86,99.05,98.77,95.95,96.96,96.99,94.90,102.72,98.54,96.14,98.43,99.23
2005:Q2,100.02,98.70,99.61,99.65,100.16,97.14,99.42,99.34,98.69,99.96,97.84,99.68,100.50,99.59,99.16,100.02,98.63,98.87,97.53,99.18,98.45,100.06,100.13,97.75,99.40,99.78
2005:Q3,99.35,100.99,100.83,100.10,100.57,102.76,100.90,101.17,101.65,100.60,101.33,100.32,99.55,101.16,101.28,100.61,100.46,101.07,101.16,101.06,101.44,99.71,100.64,101.25,100.44,100.92
2005:Q4,100.45,103.94,102.19,100.44,98.61,107.32,102.75,102.83,104.24,100.88,104.91,101.43,98.58,100.62,100.70,100.32,102.14,104.11,104.35,102.77,105.21,97.51,100.69,104.85,101.74,100.07
2006:Q1,100.76,106.45,105.54,100.80,99.01,114.17,104.80,103.58,106.82,102.39,106.30,102.79,97.50,101.81,104.18,100.48,105.52,105.14,108.38,103.96,109.76,93.52,100.50,109.83,103.25,99.19
2006:Q2,103.24,108.04,110.73,100.93,99.21,118.87,105.78,104.78,108.90,103.56,109.18,103.46,97.01,103.15,106.68,101.47,108.19,105.15,110.42,103.80,112.91,93.21,98.47,112.62,105.49,99.01
2006:Q3,105.42,109.80,113.16,100.76,97.86,121.34,107.22,105.78,110.72,104.94,114.97,103.77,96.28,104.30,105.47,102.22,112.60,107.20,112.54,103.88,114.90,96.03,98.32,118.61,108.08,98.37
2006:Q4,106.61,111.93,113.82,101.15,97.46,121.51,108.72,107.08,112.56,107.82,117.51,105.05,96.16,108.64,106.26,102.47,115.39,110.60,114.49,105.36,116.28,101.98,95.98,124.51,110.91,97.92
2007:Q1,107.17,113.48,116.20,101.65,94.54,122.99,108.91,107.89,113.70,111.88,118.18,106.31,96.27,112.31,105.27,102.63,120.17,114.87,115.80,104.89,118.94,111.57,95.11,130.52,114.15,97.55
2007:Q2,110.15,114.96,121.19,101.31,94.63,122.56,109.05,109.02,114.48,112.88,117.44,106.93,96.12,111.40,105.42,103.46,123.57,118.08,120.26,103.64,122.40,117.03,95.65,130.96,117.22,96.23
2007:Q3,114.25,116.56,123.57,101.20,94.14,123.25,109.45,109.74,115.02,114.38,116.89,107.14,96.05,111.62,105.90,104.80,125.31,118.12,124.58,101.87,123.65,119.84,97.25,135.05,120.20,96.11
2007:Q4,117.64,117.11,123.63,100.84,93.66,120.30,109.06,109.09,115.86,115.10,116.10,107.32,95.52,111.43,104.95,104.32,124.77,117.09,125.60,100.75,121.00,120.47,94.72,137.82,123.22,93.44
2008:Q1,117.53,117.43,125.01,100.90,94.35,117.90,108.54,108.55,114.75,111.97,113.42,107.88,95.12,111.03,103.15,104.22,124.50,115.23,123.42,99.30,119.63,117.67,95.65,136.55,125.98,90.21
2008:Q2,115.55,117.03,124.90,101.52,93.96,117.29,107.35,107.82,113.18,108.00,109.96,106.96,94.60,111.28,101.24,104.15,123.82,109.01,122.55,95.58,112.55,115.72,97.09,134.97,128.84,87.55
2008:Q3,112.09,116.88,121.08,102.53,91.98,113.19,105.47,105.17,112.31,100.96,107.81,105.34,93.06,111.57,99.28,105.06,119.51,105.18,122.77,91.56,105.68,113.20,100.69,135.73,131.29,84.86
2008:Q4,109.48,117.68,116.61,104.05,92.49,104.55,102.95,101.73,110.25,95.73,103.71,105.04,90.87,110.62,100.31,105.09,113.36,102.34,118.96,92.40,103.31,111.59,100.88,134.34,133.37,87.03
2009:Q1,108.12,118.37,113.73,106.05,92.99,98.47,101.14,100.82,106.87,91.75,101.86,104.82,89.56,108.62,101.95,104.91,114.69,100.42,117.97,93.80,102.58,111.40,102.33,124.47,135.02,88.16
2009:Q2,111.97,118.43,116.34,107.26,93.52,97.87,99.58,102.28,104.99,91.49,96.09,103.31,87.34,107.70,102.99,103.00,117.59,102.35,120.53,90.71,100.39,105.59,106.26,123.27,136.70,87.09
2009:Q3,116.65,118.82,120.26,108.43,93.12,98.63,98.57,104.88,105.69,93.89,93.43,102.23,89.39,108.11,102.56,101.30,120.60,104.22,122.16,87.71,98.99,102.40,111.65,118.16,138.24,87.56
2009:Q4,121.68,119.23,122.63,109.83,93.41,98.31,97.27,107.37,106.85,97.16,92.33,101.21,89.40,109.41,103.50,100.23,122.64,106.31,125.03,86.58,99.27,101.28,116.95,120.26,139.75,88.05
2010:Q1,125.21,119.09,126.10,110.74,92.63,98.25,95.98,109.66,107.90,98.84,88.91,100.11,90.51,109.04,104.57,99.33,122.93,105.84,128.12,85.30,101.64,98.76,120.77,121.82,142.50,87.20
2010:Q2,126.79,119.17,128.62,111.78,93.17,98.87,94.27,111.29,109.03,98.63,85.90,99.65,90.37,108.74,104.79,99.36,126.95,105.38,129.63,84.14,101.05,97.80,124.01,121.49,143.85,86.61
2010:Q3,125.73,119.94,126.72,113.60,92.69,98.70,92.50,111.95,110.86,98.20,83.97,99.77,91.52,107.91,105.40,98.92,126.31,103.80,129.21,84.77,99.94,96.68,126.85,118.38,144.97,86.80
2010:Q4,125.71,120.44,125.32,114.73,92.20,98.81,91.22,111.11,112.93,96.35,80.02,99.93,91.67,107.91,106.70,97.54,127.32,101.77,130.03,83.83,99.48,97.08,129.76,118.34,146.00,85.11
2011:Q1,123.18,120.15,128.12,115.71,93.56,95.85,88.94,110.74,113.35,94.13,75.83,100.06,91.26,108.33,105.72,95.82,131.90,101.15,130.55,80.90,99.24,96.02,132.89,124.03,145.77,83.49
2011:Q2,121.01,120.11,132.43,116.98,93.96,95.70,86.86,111.08,114.64,93.34,71.35,99.32,90.81,109.83,105.84,94.61,131.52,101.13,129.90,78.47,98.69,96.13,135.50,122.39,147.16,80.58
2011:Q3,118.58,120.65,133.88,118.61,93.73,93.31,85.44,110.46,115.57,92.60,67.29,97.85,91.93,110.46,106.31,93.67,133.97,102.59,128.08,78.67,97.96,97.33,135.95,119.76,148.90,80.24
2011:Q4,116.89,121.05,133.74,120.30,94.05,90.25,83.82,108.90,114.89,91.67,63.62,96.49,90.81,111.20,106.02,91.64,136.23,102.61,125.10,78.95,97.21,96.58,134.05,117.50,150.90,78.13
2012:Q1,116.92,120.64,136.63,121.74,94.29,88.78,81.15,109.03,113.40,91.82,60.30,95.51,90.81,111.08,102.19,90.77,137.54,103.30,125.25,77.68,97.27,96.57,133.85,116.63,153.30,76.06
2012:Q2,116.08,121.00,139.48,122.55,95.46,88.36,78.21,108.96,112.78,91.90,58.89,93.75,89.68,111.04,102.98,88.75,139.22,104.48,125.22,76.91,97.38,93.29,134.73,113.08,155.81,76.50
2012:Q3,114.70,121.11,137.77,123.76,96.51,88.56,75.65,109.01,112.24,91.94,59.64,91.38,90.96,110.74,102.06,85.28,140.79,106.50,126.28,77.69,97.69,90.63,136.52,109.59,158.41,73.45
2012:Q4,116.14,121.13,135.39,125.66,97.10,88.87,73.63,108.54,111.45,91.48,60.17,89.44,90.97,109.45,102.01,83.69,141.63,108.49,127.92,78.04,97.04,88.34,140.34,105.40,161.19,71.55
2013:Q1,116.88,121.22,136.13,127.39,96.96,89.86,72.82,108.01,110.30,91.20,57.61,87.88,91.32,109.02,107.21,81.21,142.71,110.70,128.56,78.23,97.16,87.40,143.97,105.50,164.66,71.46
2013:Q2,117.91,120.99,138.92,129.03,98.20,90.77,72.59,108.17,109.65,91.58,57.79,86.45,91.34,109.14,108.49,79.66,143.37,113.45,128.64,79.15,97.46,87.32,145.01,106.05,167.37,71.19
2013:Q3,119.17,120.63,139.08,130.01,98.05,90.08,71.67,107.84,108.80,92.53,61.07,84.94,92.49,108.80,109.42,79.74,142.17,116.42,129.04,79.93,97.76,86.94,147.01,99.47,169.78,71.05
2013:Q4,122.06,120.33,139.29,130.85,98.05,90.67,70.62,106.83,108.70,94.08,62.81,83.97,91.75,108.58,111.40,79.59,141.34,116.98,131.43,80.46,98.27,87.43,148.73,99.14,171.91,71.38
2014:Q1,123.10,119.73,141.11,130.94,98.50,90.93,70.22,106.17,107.81,96.03,63.23,82.99,92.30,108.40,112.75,79.44,140.56,118.03,134.73,80.82,99.22,87.68,153.08,98.36,174.53,71.73
2014:Q2,124.45,119.85,143.84,131.44,100.07,93.18,69.86,106.19,107.85,97.83,66.50,81.97,89.61,109.02,114.63,80.01,142.60,119.26,135.85,81.78,99.36,87.78,155.13,95.50,176.13,71.93
2014:Q3,126.19,119.94,144.31,132.13,100.38,93.18,69.99,105.55,107.20,100.04,71.50,80.78,89.29,109.36,115.97,80.69,144.27,121.19,138.40,82.71,99.25,86.47,154.62,94.51,177.45,71.65
2014:Q4,128.76,120.26,144.52,133.04,100.58,93.82,70.28,104.54,105.95,101.53,73.45,79.80,88.80,109.86,117.26,81.15,146.05,124.33,141.86,83.69,99.66,86.31,157.00,96.18,178.59,72.41
2015:Q1,130.87,120.39,148.43,134.77,102.07,96.47,70.36,104.24,105.38,102.97,73.59,78.93,90.74,110.19,120.73,82.60,145.73,127.97,145.14,85.07,100.92,87.14,160.57,97.03,179.14,73.19
2015:Q2,134.76,120.12,153.99,136.05,103.58,98.49,70.65,104.32,104.59,103.93,75.14,78.26,89.47,111.27,120.42,82.26,147.38,132.57,148.29,85.77,101.08,84.67,163.60,99.90,180.48,72.38
2015:Q3,137.34,120.45,156.49,136.88,104.39,98.85,71.16,104.46,104.76,105.77,76.81,78.42,90.40,111.98,119.23,82.99,148.10,137.79,152.42,86.73,100.77,84.95,166.03,97.40,181.73,72.49
2015:Q4,136.59,120.59,158.64,137.53,105.58,99.26,71.57,103.86,104.96,108.00,78.04,78.41,88.74,113.47,119.34,83.68,146.32,138.54,157.53,87.70,100.67,86.66,169.71,97.08,182.95,73.36
2016:Q1,136.51,120.81,166.83,137.99,108.11,101.27,71.87,104.29,105.45,110.41,78.39,79.12,91.28,113.52,123.74,84.90,147.75,143.35,159.45,88.55,100.77,88.17,173.68,100.28,183.30,74.48
2016:Q2,138.32,120.59,178.93,138.16,110.33,101.49,72.55,104.58,105.17,111.46,78.81,79.13,91.01,113.25,123.72,85.74,147.96,151.06,160.06,89.37,100.62,86.90,177.11,101.60,184.75,75.58
2016:Q3,140.47,121.38,183.98,138.72,112.00,103.13,72.18,104.83,105.89,111.48,82.09,78.66,91.12,112.78,127.86,87.94,150.84,156.94,163.78,90.62,99.83,87.47,181.08,101.73,186.10,76.09
2016:Q4,144.74,122.22,183.73,139.59,113.21,102.13,71.95,104.16,106.11,111.92,84.39,78.19,89.96,113.25,126.52,88.62,153.88,157.11,165.30,91.12,99.79,87.15,182.40,103.40,187.41,77.12
2017:Q1,147.33,122.02,193.87,140.09,113.90,103.12,72.26,104.66,107.03,113.33,84.59,77.60,92.54,112.57,127.55,89.52,155.53,157.80,168.15,91.33,99.97,86.69,182.79,104.22,189.67,77.82
2017:Q2,149.59,122.56,201.86,140.50,115.48,105.26,72.28,105.29,107.79,114.08,86.05,77.35,91.22,112.39,131.02,91.05,152.92,158.64,172.49,92.92,100.46,89.22,185.21,107.67,191.28,79.49
2017:Q3,149.44,123.29,193.36,140.79,116.87,106.45,73.13,105.19,108.76,114.62,90.56,76.96,91.74,112.11,131.28,93.14,152.59,160.34,174.54,93.99,100.12,90.09,187.62,107.92,192.75,82.55
2017:Q4,151.01,123.72,188.90,140.95,119.11,105.59,73.30,104.49,108.49,114.82,92.26,76.59,89.87,112.74,134.73,94.46,154.07,160.91,175.17,94.42,99.56,93.31,185.90,110.83,194.00,84.95
2018:Q1,149.98,123.94,188.86,140.78,120.01,108.41,73.34,104.29,108.77,115.10,93.32,76.68,91.94,112.73,132.91,96.13,153.19,162.45,172.05,95.17,99.47,92.88,183.19,112.50,195.34,87.31
2018:Q2,147.94,124.10,188.04,140.52,121.52,108.85,74.25,104.95,108.59,115.12,95.02,76.52,91.33,112.88,136.41,97.42,153.63,162.49,167.87,96.13,100.51,92.24,183.47,113.33,196.21,90.79
2018:Q3,145.75,124.27,183.45,140.43,123.10,108.63,74.21,104.22,109.48,115.11,96.62,75.59,91.26,113.01,141.19,99.65,152.50,162.32,167.01,96.95,99.94,94.47,182.10,115.61,196.72,93.57
2018:Q4,142.35,124.46,179.20,140.29,124.63,108.61,74.84,103.71,110.05,114.86,97.09,75.41,90.70,114.83,140.28,100.72,151.93,162.98,168.47,97.14,99.64,95.67,180.62,117.63,197.12,97.49
2019:Q1,138.63,125.50,176.72,140.78,125.87,109.57,75.60,104.33,110.84,114.61,95.20,75.91,92.94,115.17,150.46,101.55,152.67,163.15,168.30,98.10,99.52,98.64,182.21,119.72,196.93,99.19
2019:Q2,138.28,126.31,176.20,141.13,127.22,110.76,75.64,104.83,111.18,114.23,95.85,75.94,91.57,113.66,149.06,102.27,152.76,162.16,167.26,98.92,99.77,101.01,183.96,120.11,197.65,103.51
2019:Q3,142.50,127.67,175.19,141.93,128.84,111.56,75.92,103.67,112.21,114.30,96.80,75.13,91.25,113.79,150.88,103.49,153.75,164.67,169.53,99.90,100.02,100.35,185.09,121.56,198.32,106.90
2019:Q4,145.30,128.66,174.71,142.55,131.34,111.80,75.58,102.91,113.28,114.85,96.39,75.58,89.62,114.06,157.02,104.69,153.04,167.31,171.64,100.63,99.36,104.45,186.60,121.79,198.71,110.78
2020:Q1,146.35,129.07,179.90,142.95,133.13,111.89,74.94,104.33,114.97,116.10,94.36,78.01,90.38,115.35,167.27,106.05,151.44,171.41,173.61,101.57,97.77,108.17,188.16,130.19,200.98,115.10
2020:Q2,145.16,130.74,182.95,144.75,134.46,113.16,74.78,105.03,116.25,115.25,96.46,78.37,88.57,115.72,178.62,107.82,153.89,171.14,175.28,102.73,98.02,112.75,188.97,126.00,200.43,117.56
2020:Q3,149.03,132.42,190.01,146.60,140.17,117.36,74.88,105.11,117.41,117.16,95.13,76.61,89.54,117.59,187.75,110.14,157.49,179.83,178.66,103.64,99.98,109.35,192.07,127.46,199.78,117.54
2020:Q4,154.59,134.76,196.22,149.37,143.53,120.58,74.65,105.74,119.73,121.25,96.09,76.54,90.35,120.92,185.74,111.66,163.08,193.57,187.86,105.64,101.07,113.13,194.52,128.38,199.17,116.35
2021:Q1,161.95,136.28,215.47,151.95,144.20,124.02,73.70,106.80,120.82,123.20,95.58,77.81,92.44,124.96,189.34,113.28,164.94,210.80,193.30,107.04,99.90,114.60,196.75,136.66,199.41,117.70
2021:Q2,167.85,137.60,229.13,154.06,148.37,125.67,75.45,107.56,122.48,124.72,98.45,78.29,92.69,127.18,192.56,116.35,169.73,216.19,200.83,110.95,99.44,117.14,202.12,134.74,198.57,120.76
2021:Q3,178.81,137.99,230.99,155.11,153.22,127.65,75.09,107.22,124.02,123.74,101.34,77.70,95.39,132.28,196.25,123.79,170.76,226.46,211.32,115.51,99.21,115.30,206.29,140.38,197.16,123.08
2021:Q4,186.95,136.74,243.65,156.23,155.71,126.55,74.67,106.38,125.78,125.35,104.17,77.60,94.85,135.69,194.58,126.85,170.58,235.74,210.28,117.82,98.93,117.80,212.06,141.62,195.18,125.66
2022:Q1,187.49,134.22,269.20,157.35,154.33,125.76,74.08,105.36,126.16,126.85,104.37,77.82,97.78,135.94,200.28,129.63,172.18,227.13,209.59,120.03,97.94,119.16,219.76,147.25,190.68,129.47
2022:Q2,182.20,133.35,257.09,157.47,152.26,120.12,74.11,103.72,125.37,125.90,105.99,77.12,98.79,133.74,201.35,129.77,172.25,214.92,207.32,125.42,97.02,119.93,228.36,142.48,188.50,132.75
2022:Q3,173.20,131.28,231.09,157.05,147.92,114.57,73.03,100.28,124.99,125.87,107.02,74.51,99.96,132.25,192.29,127.74,167.98,203.67,200.26,126.02,94.93,117.27,236.46,144.06,186.49,136.10
2022:Q4,169.66,128.05,217.59,157.65,138.51,109.69,73.36,95.71,122.74,124.18,105.06,71.45,96.82,129.21,187.45,119.50,163.23,195.50,185.68,124.05,94.42,121.85,235.69,142.37,184.84,137.14
2023:Q1,168.11,127.87,216.60,156.15,131.53,110.47,72.85,93.19,119.82,120.27,102.53,72.42,99.69,124.63,183.96,116.87,160.08,187.13,174.67,123.59,93.73,123.53,232.42,143.34,182.72,140.81
2023:Q2,170.29,128.19,227.40,156.14,127.69,113.09,73.48,91.80,116.90,117.58,101.43,72.72,97.52,120.74,176.76,113.43,158.63,184.07,169.31,126.27,92.65,125.74,228.69,143.06,182.29,143.98
2023:Q3,170.20,127.67,224.69,155.18,124.58,114.38,73.50,89.89,114.59,117.07,101.03,72.14,96.03,119.17,176.01,113.78,155.51,185.21,167.86,127.79,90.88,121.21,226.28,142.60,182.46,147.36
2023:Q4,171.91,128.52,213.39,155.35,121.66,115.54,73.69,88.38,112.17,116.41,102.69,71.86,95.03,118.59,169.66,115.81,151.75,186.40,168.00,127.66,89.99,127.61,223.29,145.67,183.03,147.53
2024:Q1,172.86,128.55,213.84,154.67,118.83,116.28,73.22,87.07,109.68,116.58,104.40,71.60,95.55,118.22,165.37,117.21,153.92,188.23,164.73,128.04,89.70,131.42,227.46,148.37,184.10,151.61
