Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
2011:Q4,121.62,102.71,116.87,108.75,106.96,105.65,95.6,111.83,104.71,99.63,103.68,92.93,107.39,112.15,109.1,103.49,110.5,117.3,121.22,106.02,111.27,98.37,123.27,106.48,120.99,99.97
2012:Q1,121.19,101.99,117.42,109.83,107.5,105.83,94.45,111.17,104.61,101.22,103.07,91.06,107.58,112.04,107.24,106.13,111.34,118.64,122.8,106.46,111.61,99.09,123.15,107.03,122.27,98.59
2012:Q2,121.05,103.06,117.55,109.94,106.94,106.11,93.48,112.33,105.09,102.09,102.84,89.72,107.96,112.87,108.22,103.79,112.72,120.49,125.26,106.72,111.93,97.04,123.7,101.49,123.4,97.86
2012:Q3,119.51,103.41,118.75,110.35,106.7,105.24,92.34,112.75,105,101.85,102.65,88.25,108.85,113.83,109.16,103.84,112.91,120.69,126.23,106.47,112.14,95.04,124.82,102.4,124.53,97.42
2012:Q4,120.05,103.1,119.13,110.85,106.5,105.53,91.82,112.58,103.81,101.7,102.81,87.43,109.34,114.09,109.28,103.17,112.99,120.14,127.69,106.99,112.15,95.21,125.56,102.56,125.9,98.12
2013:Q1,120.77,103.04,120.74,112.19,106.18,106.92,91.64,113,103.5,101.35,102.12,87.78,109.8,114.75,109.06,102.52,114.05,119.55,128.12,105.11,112.15,95.55,126.41,101.47,127.04,97.82
2013:Q2,121,103.02,121.07,112.3,106.89,107.48,92.28,112.5,103.94,103.18,102.78,87.72,110.33,116.25,111.59,102.4,114.84,116.92,126.86,104.81,111.96,95.22,127.58,100.04,128.31,96.93
2013:Q3,121.23,103.06,121.02,112.37,107.22,106.35,91.97,112.68,103.67,104.94,102.64,88.38,110.54,117.08,113.8,103.17,115.45,117.57,128.03,104.82,111.7,94.96,128.76,101.49,129.39,97.1
2013:Q4,122.24,102.65,122,112.55,106.81,108.27,92.43,111.89,103.57,105.76,102.82,88.47,110.37,117.67,113.3,104.59,115.96,120.72,129.16,104.99,111.31,96.29,129.74,102.23,130.28,97.96
2014:Q1,122.86,103.15,121.59,113.11,107.23,108.8,92.51,111.39,104.35,105.63,102.93,88.39,110.34,117.86,113.36,105.29,116.27,121.99,130.08,105.73,111.14,95.88,131.15,102.06,130.73,97.59
2014:Q2,123.75,102.79,121.44,113.03,107.98,109.1,93.16,112.49,104.92,105.7,103.25,88.31,109.37,119.51,112.6,104.9,117.17,124.22,130.18,106.66,111,95.7,132.5,102.71,131.44,98.21
2014:Q3,124.31,102.99,122.86,113,108.63,107.4,93.63,113.67,105.54,105.95,103.77,88.81,109.4,120.92,114.53,104.71,117.73,123.98,130.6,107.54,110.98,96.06,134.11,103.47,132.33,98.73
2014:Q4,124.76,103.63,122.84,113,108.92,109.74,94.69,114.19,105.47,107.27,104.3,88.8,109.81,122.44,113.71,106.12,118.16,122.33,131.88,108.57,111.14,97.17,135.36,104.86,133.28,99.64
2015:Q1,124.78,103.86,125.54,113.54,109.26,112.12,95.23,114.17,105.91,109.28,105.14,89.18,110.54,125.02,108.37,107.04,118.29,121.33,132.16,109.42,111.48,99.45,136.25,104.39,134.36,99.67
2015:Q2,125.02,103.79,126.06,113.81,109.96,112.73,96.22,114.5,105.8,111.54,105.92,89.45,111.03,126.43,107.76,107.33,119.78,121.23,133.27,109.79,111.49,99.01,136.72,106.84,134.52,99.99
2015:Q3,124.88,103.19,126.22,113.98,110.53,110.49,96.73,115.59,106.32,113.5,106.08,89.98,111.73,126.8,108.38,108.22,119.63,121.93,134.04,110.14,111.37,100.36,137.6,109.23,134.54,100.62
2015:Q4,124.04,103.79,126.08,114.04,110.52,111.14,97.7,115.93,106.8,113.59,106.87,90.5,112.47,128.07,108.3,107.5,119.12,122.41,134.74,110.47,110.96,102.71,138.01,108.25,134.65,101.72
2016:Q1,124.43,104.54,122.57,115.15,110.74,114.59,98.35,117.42,107.55,113.17,107.91,91.02,113.2,127.54,106.72,108.38,119.18,124.33,137.82,110.78,110.49,104.57,139.21,111.74,132.24,102.32
